From,Connection type/description,To
Andor Laser Combiner System LC-501A - Back - Power,3-blade power - male to female - switched by Boos RC7 switch 2,Multi-outlet strip with female 3-blade connectors
Andor Laser Combiner System LC-501A - Front - AOTF Control - RF In,AOTF Control RF in to AOTF RF out - black laser cable ,Andor Precision Control Unit ER-PCUB-110 - Front - AOTF control - RF Out
Andor Laser Combiner System LC-501A - Front - AOTF Control - Therm,AOTF Control Therm to AOTF Therm,Andor Precision Control Unit ER-PCUB-110 - Front - AOTF control - Therm
Andor Laser Combiner System LC-501A - Front - Fiber,"Fiber / FC8 coupler to FC8 coupler, mind the orientation tab",Yokagawa CSU-X1 - Fiber
Andor Laser Combiner System LC-501A - Front - USB-B,USB - blue woven cable - to top right USB port of computer,Computer - USB-A (top-right)
Andor Precision Control Unit ER-PCUB-110 - Back - AUX,BNC AUX to Hammamatsu Camera Timing 1 via thick-to-thin cable adapter,Hamamatsu Orca Flash 4.0 C11440 - Timing 1
Andor Precision Control Unit ER-PCUB-110 - Back - Multi-pin parallel,"Parallel cable - beige, thick cable - APC to bottom card slot of computer ",Computer - card bottom slot
Andor Precision Control Unit ER-PCUB-110 - Back - Power,3-blade power - male to female - switched by Boos RC7 switch 2,Multi-outlet strip with female 3-blade connectors
Andor Precision Control Unit ER-PCUB-110 - Front - Analog A5 Piezo,BNC cable - Analog A5 Piezo to PZ Ext In on ASI Controller,ASI MS-2000 Stage Controller - PZ EXT IN
Andor Precision Control Unit ER-PCUB-110 - Front - AOTF control - RF Out,AOTF Control RF in to AOTF RF out - black laser cable ,Andor Laser Combiner System LC-501A - Front - AOTF Control - RF In
Andor Precision Control Unit ER-PCUB-110 - Front - AOTF control - Therm,AOTF Control Therm to AOTF Therm,Andor Laser Combiner System LC-501A - Front - AOTF Control - Therm
ASI MS-2000 Stage Controller - Power - multipin,"DC power - to DC brick, then brick to shore power",Shore power
ASI MS-2000 Stage Controller - PZ EXT IN,BNC cable - Analog A5 Piezo to PZ Ext In on ASI Controller,Andor Precision Control Unit ER-PCUB-110 - Front - Analog A5 Piezo
ASI MS-2000 Stage Controller - PZ STAGE,Serial to direct connection to stage (150µm),"Stage - Z Piezo - ""150µm"""
ASI MS-2000 Stage Controller - Serial out ,RS232 to USB Serial Converter P4/D - COM11,USB Serial Converter - P4
ASI MS-2000 Stage Controller - XY STAGE,"Parallel cable - beige, thick cable - splits into two connections","Stage - X/Y - X horizontal, Y vertical"
Boos RC7 Power Manager - Switch 1 (black),Integrated power,Shore power
Boos RC7 Power Manager - Switch 2,3-blade power - male to female - switched by Boos RC7 switch 2,Multi-outlet strip with female 3-blade connectors
Boos RC7 Power Manager - Switch 3,"DC power - to DC brick, then brick to Boos RC7 switch 3 ",Yokagawa CSU-X1 - Power
